timestamp,Eagle_office_Lamont,Eagle_office_Ryan,Eagle_education_Roman,Eagle_office_Mandi,Eagle_lodging_Edgardo,Eagle_education_Cassie,Eagle_education_Peter,Eagle_lodging_Dawn,Eagle_lodging_Tressa
2016-02-01 00:00:00,128989.8961,34084.1573,0.0,31181.2597,29856.403,83327.6758,1480948.4287,25379.9486,31874.7536
2016-02-01 01:00:00,141659.8536,11927.9897,0.0,37418.7191,30125.5008,81525.465,1168316.229,30977.6047,32408.729
2016-02-01 02:00:00,143969.3117,12191.7536,0.0,33059.0536,28891.4081,79370.9243,1125718.6229,26962.532000000007,39388.5373
2016-02-01 03:00:00,83589.9451,13246.8092,0.0,35136.546,37210.4043,77495.6509,1034027.6092,26054.0119,45757.1752
2016-02-01 04:00:00,68526.3301,791.2917,0.0,31897.1443,25575.1925,77175.4415,932916.8247,34787.5277,42813.365
2016-02-01 05:00:00,65905.4548,644.7562,0.0,29327.7908,39924.1538,82548.869,797716.0801,26112.6261,45068.6049
2016-02-01 06:00:00,66854.6531,15005.2352,0.0,34207.9212,33988.3817,82625.0674,775870.4212,30186.313,38973.1091
2016-02-01 07:00:00,67843.7385,14331.1719,0.0,32137.5797,19629.6025,78856.4967,634726.6656,18551.3943,46902.8777
2016-02-01 08:00:00,71225.0744,17144.6535,0.0,31106.2922,26163.386,79921.7219,779814.8638,33351.4798,34313.7491
2016-02-01 09:00:00,71025.0242,17818.7168,0.0,33524.0107,32436.8638,77312.4815,626035.7037,25262.7202,36906.5776
2016-02-01 10:00:00,71099.2591,11927.9897,0.0,30341.6113,23268.5479,76802.4793,413090.3444,22390.6244,39754.0261
2016-02-01 11:00:00,67646.15,14594.9358,0.0,36940.5738,23058.797,82490.7237,388350.5508,20778.7339,26651.9647
2016-02-01 12:00:00,70392.4304,31241.3686,0.0,38115.7006,28743.0556,74897.4299,412103.6916,29277.7929,48593.1061
2016-02-01 13:00:00,72548.2021,35813.2762,0.0,36963.111,22737.5618,80536.7021,380967.77,24852.4208,38906.9044
