timestamp,Robin_lodging_Dorthy,Robin_education_Zenia,Robin_office_Dina,Robin_education_Derick,Robin_education_Della,Robin_office_Sammie,Robin_office_Gayle,Robin_lodging_Phillip,Robin_lodging_Elmer
2016-02-01 00:00:00,36.3,110.25,33.5,533.0,0.7492,64.5,39.0,71.6,116.8
2016-02-01 01:00:00,30.0,109.5,33.0,523.5,0.7492,97.25,42.0,62.0,103.3
2016-02-01 02:00:00,22.3,113.5,32.5,517.5,0.7492,71.25,40.0,53.3,83.9
2016-02-01 03:00:00,19.1,109.75,33.0,518.0,0.7492,69.5,39.5,49.5,71.8
2016-02-01 04:00:00,17.7,110.75,33.0,520.5,0.7492,71.5,39.25,46.5,69.7
2016-02-01 05:00:00,17.3,111.25,34.0,531.0,0.7492,81.5,40.25,45.9,64.6
2016-02-01 06:00:00,17.6,119.75,34.5,533.5,0.7492,97.75,41.0,46.4,75.1
2016-02-01 07:00:00,22.3,135.5,33.5,551.5,0.7492,115.0,43.0,47.9,108.0
2016-02-01 08:00:00,32.2,139.25,34.0,589.5,0.7492,115.25,45.5,55.0,132.9
2016-02-01 09:00:00,35.8,161.75,39.0,632.5,0.7492,122.75,49.75,63.0,132.2
2016-02-01 10:00:00,29.8,173.75,45.5,686.5,0.7492,141.75,73.5,65.6,110.0
2016-02-01 11:00:00,30.7,177.25,52.0,708.5,0.7492,149.5,98.0,63.5,103.2
2016-02-01 12:00:00,38.9,187.5,56.5,722.5,0.7492,149.5,107.0,71.5,109.5
2016-02-01 13:00:00,43.7,181.25,56.0,736.0,0.7492,140.75,108.0,77.7,103.1
2016-02-01 14:00:00,33.9,186.5,54.5,719.0,0.7492,144.25,96.25,77.1,110.9
2016-02-01 15:00:00,30.6,191.25,56.5,729.5,0.7492,138.5,102.25,70.2,111.5
2016-02-01 16:00:00,28.4,191.25,57.0,694.5,0.7492,143.5,112.25,72.7,124.7
2016-02-01 17:00:00,33.8,184.5,57.0,691.0,0.7492,147.75,113.0,73.3,144.7
2016-02-01 18:00:00,43.4,183.75,50.5,645.5,0.7492,137.5,89.75,78.1,166.9
2016-02-01 19:00:00,54.4,164.75,47.0,631.5,0.7492,132.0,80.0,80.0,182.7
2016-02-01 20:00:00,55.7,149.0,45.0,611.0,0.7492,124.25,72.0,76.8,156.4
2016-02-01 21:00:00,50.2,121.75,40.0,596.0,0.7492,109.0,67.75,79.3,145.8
2016-02-01 22:00:00,52.8,120.0,37.5,566.0,0.7492,91.75,62.5,78.3,131.7
2016-02-01 23:00:00,46.3,117.0,35.0,548.5,0.7492,80.0,42.75,72.9,124.2
2016-02-02 00:00:00,36.9,111.0,32.5,519.5,0.7492,54.5,39.5,67.9,114.9
2016-02-02 01:00:00,27.3,110.75,33.0,527.0,0.7492,93.0,38.75,63.0,95.4
2016-02-02 02:00:00,21.0,112.0,33.0,532.5,0.7492,84.0,38.75,57.1,80.8
2016-02-02 03:00:00,19.7,109.5,32.5,530.0,0.7492,72.0,38.75,53.1,75.9
2016-02-02 04:00:00,18.4,109.5,32.5,530.5,0.7492,70.5,39.75,51.3,71.8
2016-02-02 05:00:00,17.5,112.5,33.0,534.5,0.7492,71.75,38.5,50.9,68.7
2016-02-02 06:00:00,18.5,122.5,33.0,532.5,0.7492,83.25,41.25,49.3,84.5
2016-02-02 07:00:00,22.3,138.0,34.0,553.0,0.7492,101.5,45.0,51.4,106.6
2016-02-02 08:00:00,32.3,144.25,33.5,586.5,0.7492,103.0,47.0,57.9,131.9
2016-02-02 09:00:00,38.7,165.25,40.5,648.5,0.7492,105.75,58.5,62.7,125.1
2016-02-02 10:00:00,35.6,179.0,51.5,706.0,0.7492,121.5,81.5,66.7,118.4
2016-02-02 11:00:00,33.8,189.0,55.0,720.5,0.7492,127.25,96.75,69.9,109.4
2016-02-02 12:00:00,31.6,187.5,59.5,736.5,0.7492,137.75,100.25,69.1,107.0
2016-02-02 13:00:00,30.0,188.25,61.0,723.0,0.7492,136.75,101.75,76.1,110.8
2016-02-02 14:00:00,28.1,193.25,63.5,727.0,0.7492,129.25,101.5,71.4,104.7
2016-02-02 15:00:00,28.7,195.5,60.5,731.0,0.7492,120.5,107.0,66.0,101.7
2016-02-02 16:00:00,28.2,191.75,59.0,714.0,0.7492,125.0,111.5,75.6,115.0
2016-02-02 17:00:00,30.5,186.25,57.5,685.0,0.7492,125.5,112.5,74.9,134.7
2016-02-02 18:00:00,45.1,186.25,52.5,655.0,0.7492,114.0,91.0,78.6,166.0
2016-02-02 19:00:00,48.2,173.0,47.5,619.5,0.7492,101.75,83.75,78.5,177.5
2016-02-02 20:00:00,49.2,148.5,43.5,609.5,0.7492,87.75,76.25,88.1,149.6
2016-02-02 21:00:00,55.4,126.0,39.0,588.0,0.7492,84.5,72.0,82.1,139.5
2016-02-02 22:00:00,47.4,121.25,35.0,553.0,0.7492,79.0,69.75,79.9,132.3
2016-02-02 23:00:00,41.5,113.0,33.0,528.0,0.7492,58.25,43.5,71.6,122.4
2016-02-03 00:00:00,37.3,113.25,32.0,521.0,0.7492,55.25,42.0,74.7,114.1
2016-02-03 01:00:00,29.8,114.5,31.5,512.0,0.7492,74.75,41.75,66.6,97.0
2016-02-03 02:00:00,22.1,119.0,31.5,510.0,0.7492,69.0,43.25,58.2,90.6
2016-02-03 03:00:00,19.0,115.75,31.0,507.0,0.7492,76.5,43.0,53.4,78.3
2016-02-03 04:00:00,17.5,115.5,32.0,516.0,0.7492,70.75,42.25,51.7,69.8
