timestamp,Fox_lodging_Stephen,Fox_education_Virginia,Fox_lodging_Stephan,Fox_office_Israel,Fox_education_Lilly,Fox_education_Kris,Fox_lodging_Warren,Fox_office_Clayton,Fox_office_Demetrius,Hog_education_Hallie,Hog_education_Wayne,Hog_office_Mari,Hog_lodging_Shanti,Hog_education_Jordan,Hog_office_Lavon,Hog_office_Almeda,Hog_lodging_Shonda,Hog_lodging_Mauricio
2016-02-01 00:00:00,94.79,1.94,33.0,107.96,161.84,32.94,32.32,28.49,153.57,64.954,136.918,33.552,275.685,76.803,20.536,43.38800000000001,138.0,186.0
2016-02-01 01:00:00,94.28,2.49,31.5,123.28,162.32,32.06,30.75,27.54,163.44,65.446,132.985,33.434,253.925,64.266,20.542,42.535,117.0,175.0
2016-02-01 02:00:00,84.35,2.66,27.97,125.52,161.63,31.47,28.98,26.5,152.02,65.35300000000001,129.204,33.135,245.908,63.794,20.468,42.827,95.0,166.0
2016-02-01 03:00:00,78.32,2.48,25.12,129.08,163.9,32.5,28.19,26.25,189.75,65.03399999999999,131.91899999999998,33.519,239.125,58.987,20.664,43.127,89.0,160.0
2016-02-01 04:00:00,76.13,41.22,24.72,122.68,165.16,31.31,27.52,26.16,224.82,64.973,129.69799999999998,33.111999999999995,221.955,56.39100000000001,20.795,43.062,87.0,157.0
2016-02-01 05:00:00,74.78,61.21,25.39,123.05,169.92,34.19,27.26,35.62,233.65,65.001,127.854,34.978,216.651,56.601000000000006,20.588,43.61600000000001,86.0,146.0
2016-02-01 06:00:00,73.67,42.71,26.06,132.45,173.03,50.39,27.38,44.76,226.82,65.715,136.632,43.18600000000001,220.436,61.163,23.054,63.348,88.0,150.0
2016-02-01 07:00:00,72.84,36.04,24.79,155.89,172.11,66.02,26.8,48.98,226.03,65.061,160.101,51.777,259.365,81.11399999999998,20.42,66.854,93.0,169.0
2016-02-01 08:00:00,71.69,42.86,25.09,171.89,220.16,76.47,27.15,62.64,237.22,66.123,171.083,60.603,292.733,106.84,20.145,73.438,110.0,184.0
2016-02-01 09:00:00,78.08,39.53,28.24,185.22,259.9,96.13,31.98,68.14,242.02,70.324,180.541,64.867,311.194,116.222,20.267,69.524,112.0,196.0
2016-02-01 10:00:00,84.3,37.12,27.92,192.56,265.19,93.8,31.3,70.64,237.08,78.381,196.079,71.745,319.107,136.46,20.221,69.91,129.0,193.0
2016-02-01 11:00:00,77.26,36.13,29.03,201.15,238.45,89.85,36.38,73.94,218.54,82.91,209.462,69.609,316.198,141.471,19.408,70.994,134.0,206.0
2016-02-01 12:00:00,88.38,33.82,32.25,200.71,242.85,88.57,30.09,86.67,203.54,84.816,213.727,71.161,324.342,149.82299999999995,19.354,72.26100000000002,136.0,211.0
2016-02-01 13:00:00,103.4,33.29,33.83,205.91,249.49,92.88,38.56,92.24,242.38,84.76899999999998,214.855,72.987,328.149,146.799,19.36,70.10600000000001,136.0,222.0
2016-02-01 14:00:00,109.56,32.78,32.37,204.37,264.44,94.53,33.28,92.23,226.54,87.41,214.94,75.059,332.3230000000001,140.45,20.453,69.546,129.0,221.0
2016-02-01 15:00:00,101.99,35.23,29.58,199.16,268.26,92.3,34.38,89.32,219.51,84.865,215.72,70.164,313.49,147.056,19.731,71.691,138.0,213.0
2016-02-01 16:00:00,103.61,37.44,30.14,193.76,262.37,87.77,35.97,87.77,218.8,82.71,211.26,67.322,309.576,153.612,22.241,69.41199999999999,130.0,219.0
2016-02-01 17:00:00,108.27,36.24,28.75,185.25,236.35,79.83,40.59,86.89,202.7,77.33800000000002,203.23,61.27,327.889,149.715,19.573,69.462,143.0,214.0
2016-02-01 18:00:00,105.24,36.15,31.33,170.32,224.68,82.71,37.55,85.32,197.36,74.961,198.437,53.493,334.48800000000006,145.165,20.066,73.257,135.0,221.0
2016-02-01 19:00:00,108.71,36.46,32.75,162.69,196.44,83.31,39.41,80.86,192.51,73.558,166.384,46.539,334.266,136.269,20.71,75.58,125.0,222.0
2016-02-01 20:00:00,105.43,37.63,32.46,158.91,187.25,85.02,36.79,78.33,209.74,71.844,153.485,46.569,348.18300000000005,129.618,21.236,75.274,129.0,217.0
2016-02-01 21:00:00,95.27,42.91,31.71,145.23,178.16,80.24,34.97,77.95,214.66,68.561,142.054,45.444,335.56699999999995,130.861,21.845,56.404,133.0,206.0
2016-02-01 22:00:00,106.13,42.67,35.02,138.58,172.96,53.03,41.06,74.5,216.35,66.928,142.157,45.284,316.151,120.291,22.265,54.304,145.0,199.0
2016-02-01 23:00:00,105.54,15.29,36.64,136.12,178.86,32.13,37.51,61.02,219.83,64.495,139.58,31.976,303.952,115.251,21.332,56.96100000000001,136.0,195.0
2016-02-02 00:00:00,112.58,4.48,31.99,138.04,168.49,30.58,32.29,35.8,230.26,64.628,141.814,29.693,282.085,93.067,20.603,56.481,115.0,187.0
2016-02-02 01:00:00,100.79,4.51,30.1,135.24,168.74,30.19,29.77,43.11,245.58,64.546,140.593,29.463,269.333,76.485,20.703000000000007,53.93,105.0,174.0
2016-02-02 02:00:00,79.16,3.84,29.16,138.26,175.86,40.19,28.24,36.77,245.71,64.65899999999999,132.41899999999998,28.837,250.391,68.585,23.275,45.594,96.0,168.0
2016-02-02 03:00:00,74.15,3.0,28.64,141.18,181.84,44.4,27.72,31.15,248.35,64.27199999999999,128.535,29.154,230.995,63.629,20.772,42.973,93.0,158.0
2016-02-02 04:00:00,73.0,52.66,28.1,142.2,170.19,38.36,27.79,29.92,254.91,64.556,133.222,29.628,225.113,60.605,21.179,43.465,87.0,154.0
2016-02-02 05:00:00,72.83,55.696666666666665,26.78,149.08,172.3,36.61,26.83,38.7,290.05,64.21300000000001,128.785,31.126,222.69,60.769,20.832,43.624,86.0,145.0
2016-02-02 06:00:00,71.98,58.733333333333334,27.38,161.4,175.45,61.67,26.64,42.73,308.47,65.149,136.50799999999998,39.11,240.074,65.54,20.774,61.002,89.0,153.0
2016-02-02 07:00:00,71.9,61.77,26.68,169.44,180.03,87.67,27.57,46.48,317.37,66.194,162.939,52.087,263.846,86.131,20.597,66.406,95.0,174.0
2016-02-02 08:00:00,75.1,64.6,27.14,182.42,230.52,91.0,27.94,63.68,312.85,66.605,170.338,59.553,293.002,112.301,21.513,76.36,104.0,187.0
2016-02-02 09:00:00,75.52,45.24,28.79,199.99,257.94,96.92,29.02,71.72,281.8,70.852,190.221,64.168,299.041,119.854,22.531,70.315,109.0,194.0
2016-02-02 10:00:00,77.08,34.03,30.4,205.61,262.48,95.78,31.73,77.29,263.37,81.143,204.43400000000003,70.972,315.398,134.689,20.654,72.138,123.0,200.0
2016-02-02 11:00:00,87.85,36.46,31.71,201.36,271.5,98.83,31.25,81.45,244.73,83.04299999999998,223.582,72.08,306.343,136.851,19.574,75.785,123.0,212.0
2016-02-02 12:00:00,90.24,29.89,31.95,193.69,279.3,97.46,31.02,83.67,229.66,83.225,226.764,71.818,323.572,140.778,19.467,76.655,126.0,217.0
2016-02-02 13:00:00,91.05,24.62,31.03,193.36,288.79,89.66,33.01,82.17,223.43,83.931,221.258,72.205,333.9430000000001,141.595,19.397,76.06,149.0,220.0
2016-02-02 14:00:00,90.66,22.19,31.57,195.47,285.38,81.46,30.55,80.95,233.05,81.58800000000002,224.006,68.748,334.5130000000001,144.69799999999995,19.421,76.796,135.0,220.0
2016-02-02 15:00:00,93.49,23.86,31.12,190.51,269.23,74.96,33.47,80.04,194.28,81.908,220.77,63.41,311.528,153.571,19.443,75.715,143.0,222.0
2016-02-02 16:00:00,97.45,22.77,36.18,185.28,258.91,69.54,31.14,79.63,210.74,81.824,210.308,59.70399999999999,324.9,153.291,19.49,75.858,136.0,220.0
2016-02-02 17:00:00,99.01,24.93,32.78,174.47,240.36,68.01,35.69,76.91,183.05,75.834,217.151,57.27,348.4190000000001,151.523,19.718,77.541,126.0,218.0
2016-02-02 18:00:00,98.81,26.67,31.59,162.8,241.11,68.1,35.21,77.46,189.54,68.607,199.803,51.492,346.52,148.876,20.544,77.063,126.0,225.0
2016-02-02 19:00:00,98.11,32.16,40.47,161.14,204.9,69.21,33.74,82.87,207.09,68.793,169.412,48.92,355.546,131.394,22.772,78.808,144.0,227.0
2016-02-02 20:00:00,98.96,39.88,40.19,157.2,190.01,72.65,42.67,84.49,222.15,67.021,156.735,48.948,348.06,122.532,21.241,78.572,168.0,219.0
2016-02-02 21:00:00,116.64,42.34,38.4,143.05,180.58,82.49,44.84,79.49,219.82,67.111,142.257,47.971,338.445,116.569,22.016,79.721,140.0,212.0
2016-02-02 22:00:00,116.94,42.98,38.56,132.48,175.74,56.25,47.67,76.32,229.78,66.65,138.876,47.803,326.149,115.334,22.006,75.445,145.0,208.0
2016-02-02 23:00:00,109.43,16.09,40.58,124.05,178.67,37.01,40.37,61.79,239.83,66.241,131.607,34.55,308.599,110.031,21.527,55.542,119.0,200.0
2016-02-03 00:00:00,90.97,4.16,39.9,119.75,166.84,30.97,38.45,29.01,247.85,66.12899999999999,135.861,32.804,289.446,74.485,20.738000000000003,53.609,114.0,192.0
2016-02-03 01:00:00,89.86,4.61,33.51,125.34,182.29,31.46,33.81,35.15,260.84,66.10600000000001,135.108,32.801,275.496,65.737,20.607,53.62300000000001,102.0,179.0
